OrderID,OrderDate,Month,Region,Product,Category,SalesPerson,Quantity,UnitPrice,Sales
67,2024-09-06,September,South,Phone,Electronics,Rahul,4,5000,20000
68,2024-07-25,July,East,Phone,Electronics,Priya,14,15000,210000
69,2024-02-17,February,East,Phone,Electronics,Amit,12,1200,14400
70,2024-08-13,August,North,Tablet,Electronics,Priya,18,5000,90000
71,2024-05-31,May,North,Tablet,Electronics,Riya,17,15000,255000
72,2024-05-15,May,East,Phone,Electronics,Amit,4,500,2000
73,2024-08-04,August,East,Phone,Electronics,Priya,9,800,7200
74,2024-10-19,October,West,Phone,Electronics,Vikas,18,15000,270000
75,2024-12-18,December,South,Laptop,Electronics,Priya,9,500,4500
76,2024-11-20,November,North,Laptop,Electronics,Sneha,9,500,4500
77,2024-02-04,February,East,Laptop,Electronics,Riya,20,800,16000
78,2024-10-10,October,West,Monitor,Accessories,Sneha,1,1200,1200
79,2024-09-26,September,South,Keyboard,Accessories,Riya,5,500,2500
80,2024-04-02,April,South,Phone,Electronics,Sneha,9,500,4500
81,2024-04-15,April,East,Mouse,Accessories,Karan,10,15000,150000
82,2024-06-26,June,North,Keyboard,Accessories,Sneha,6,1200,7200
83,2024-09-15,September,South,Laptop,Electronics,Karan,1,500,500
84,2024-12-03,December,West,Phone,Electronics,Karan,15,500,7500
85,2024-06-06,June,South,Keyboard,Accessories,Rahul,13,15000,195000
86,2024-11-21,November,South,Tablet,Electronics,Priya,7,30000,210000
87,2024-01-08,January,North,Tablet,Electronics,Sneha,2,800,1600
88,2024-02-13,February,West,Monitor,Accessories,Sneha,6,500,3000
89,2024-05-30,May,North,Keyboard,Accessories,Karan,8,30000,240000
90,2024-08-16,August,North,Phone,Electronics,Sneha,6,1200,7200
91,2024-06-14,June,South,Tablet,Electronics,Amit,11,15000,165000
92,2024-04-03,April,North,Tablet,Electronics,Vikas,7,1200,8400
93,2024-05-22,May,South,Monitor,Accessories,Rahul,3,5000,15000
94,2024-05-15,May,North,Keyboard,Accessories,Neha,1,500,500
95,2024-07-20,July,North,Monitor,Accessories,Sneha,19,500,9500
96,2024-10-26,October,South,Tablet,Electronics,Priya,8,500,4000
97,2024-05-25,May,South,Tablet,Electronics,Amit,16,800,12800
98,2024-08-07,August,South,Mouse,Accessories,Amit,17,30000,510000
99,2024-12-15,December,South,Mouse,Accessories,Riya,19,30000,570000
100,2024-11-22,November,East,Laptop,Electronics,Riya,2,800,1600
101,2024-01-26,January,North,Monitor,Accessories,Rahul,15,15000,225000
102,2024-08-21,August,North,Monitor,Accessories,Riya,9,500,4500
103,2024-08-30,August,East,Mouse,Accessories,Riya,17,500,8500
104,2024-04-15,April,South,Tablet,Electronics,Karan,8,30000,240000
105,2024-09-02,September,East,Monitor,Accessories,Amit,13,500,6500
106,2024-11-03,November,South,Keyboard,Accessories,Vikas,7,500,3500
107,2024-10-17,October,South,Tablet,Electronics,Amit,10,15000,150000
108,2024-05-17,May,North,Monitor,Accessories,Rahul,2,5000,10000
109,2024-12-28,December,East,Mouse,Accessories,Karan,16,1200,19200
110,2024-10-08,October,South,Monitor,Accessories,Sneha,15,500,7500
111,2024-05-28,May,West,Laptop,Electronics,Riya,16,500,8000
112,2024-07-17,July,South,Keyboard,Accessories,Rahul,15,1200,18000
113,2024-03-13,March,East,Laptop,Electronics,Vikas,19,500,9500
114,2024-09-17,September,East,Phone,Electronics,Riya,20,30000,600000
115,2024-09-11,September,West,Mouse,Accessories,Priya,12,800,9600
116,2024-09-08,September,West,Laptop,Electronics,Priya,6,500,3000
117,2024-06-25,June,West,Tablet,Electronics,Vikas,5,5000,25000
118,2024-06-15,June,East,Laptop,Electronics,Priya,11,500,5500
119,2024-01-07,January,East,Laptop,Electronics,Sneha,7,30000,210000
120,2024-07-18,July,North,Tablet,Electronics,Vikas,3,5000,15000
121,2024-05-23,May,North,Monitor,Accessories,Amit,9,500,4500
122,2024-03-17,March,South,Mouse,Accessories,Sneha,10,30000,300000
123,2024-04-07,April,East,Monitor,Accessories,Priya,17,1200,20400
124,2024-10-08,October,South,Laptop,Electronics,Riya,13,15000,195000
125,2024-11-10,November,South,Laptop,Electronics,Sneha,14,5000,70000
126,2024-03-06,March,South,Monitor,Accessories,Karan,2,15000,30000
127,2024-06-01,June,East,Monitor,Accessories,Sneha,11,1200,13200
128,2024-09-04,September,West,Monitor,Accessories,Riya,8,1200,9600
129,2024-04-16,April,West,Phone,Electronics,Rahul,6,500,3000
130,2024-08-06,August,South,Monitor,Accessories,Rahul,11,5000,55000
131,2024-06-24,June,North,Phone,Electronics,Vikas,3,800,2400
132,2024-10-18,October,South,Phone,Electronics,Amit,12,1200,14400
133,2024-07-30,July,South,Mouse,Accessories,Priya,14,5000,70000
134,2024-09-12,September,East,Tablet,Electronics,Vikas,11,500,5500
135,2024-11-18,November,South,Phone,Electronics,Riya,17,15000,255000
136,2024-07-23,July,West,Tablet,Electronics,Priya,8,5000,40000
137,2024-01-17,January,West,Tablet,Electronics,Karan,1,800,800
138,2024-02-07,February,West,Keyboard,Accessories,Karan,16,500,8000
139,2024-04-24,April,South,Monitor,Accessories,Neha,8,500,4000
140,2024-12-24,December,West,Keyboard,Accessories,Riya,4,30000,120000
141,2024-03-05,March,South,Keyboard,Accessories,Amit,2,500,1000
142,2024-11-16,November,East,Mouse,Accessories,Priya,10,800,8000
143,2024-02-06,February,East,Mouse,Accessories,Rahul,4,500,2000
144,2024-11-03,November,North,Monitor,Accessories,Amit,9,800,7200
145,2024-05-22,May,East,Keyboard,Accessories,Rahul,10,5000,50000
146,2024-10-07,October,South,Monitor,Accessories,Amit,17,800,13600
147,2024-01-12,January,South,Monitor,Accessories,Karan,10,500,5000
148,2024-05-11,May,South,Mouse,Accessories,Priya,14,500,7000
149,2024-01-18,January,East,Tablet,Electronics,Priya,8,5000,40000
150,2024-01-04,January,East,Tablet,Electronics,Riya,13,800,10400
151,2024-06-08,June,South,Phone,Electronics,Rahul,16,800,12800
152,2024-05-31,May,North,Monitor,Accessories,Karan,8,1200,9600
153,2024-09-05,September,West,Keyboard,Accessories,Amit,6,800,4800
154,2024-01-28,January,South,Keyboard,Accessories,Amit,5,5000,25000
155,2024-01-27,January,North,Keyboard,Accessories,Neha,5,5000,25000
156,2024-06-09,June,North,Monitor,Accessories,Riya,15,30000,450000
157,2024-04-04,April,West,Phone,Electronics,Amit,11,800,8800
158,2024-06-18,June,West,Tablet,Electronics,Neha,13,1200,15600
159,2024-05-23,May,North,Laptop,Electronics,Vikas,1,500,500
160,2024-04-16,April,West,Monitor,Accessories,Vikas,4,15000,60000
161,2024-01-26,January,West,Tablet,Electronics,Rahul,14,500,7000
162,2024-04-08,April,East,Tablet,Electronics,Vikas,18,5000,90000
163,2024-11-19,November,West,Mouse,Accessories,Rahul,16,500,8000
164,2024-07-11,July,North,Mouse,Accessories,Karan,13,500,6500
165,2024-04-09,April,North,Laptop,Electronics,Vikas,2,1200,2400
166,2024-11-11,November,North,Tablet,Electronics,Sneha,9,1200,10800
167,2024-06-01,June,North,Mouse,Accessories,Riya,11,1200,13200
168,2024-08-31,August,West,Laptop,Electronics,Priya,8,500,4000
169,2024-03-08,March,West,Tablet,Electronics,Neha,14,5000,70000
170,2024-03-18,March,South,Laptop,Electronics,Vikas,10,30000,300000
171,2024-11-01,November,North,Tablet,Electronics,Rahul,15,1200,18000
172,2024-07-27,July,North,Monitor,Accessories,Amit,6,800,4800
173,2024-06-15,June,South,Monitor,Accessories,Priya,18,15000,270000
174,2024-11-15,November,North,Laptop,Electronics,Rahul,3,1200,3600
175,2024-12-29,December,West,Laptop,Electronics,Neha,14,5000,70000
176,2024-08-23,August,South,Phone,Electronics,Riya,5,5000,25000
177,2024-10-17,October,East,Tablet,Electronics,Vikas,10,1200,12000
178,2024-08-12,August,South,Tablet,Electronics,Neha,9,800,7200
179,2024-05-24,May,South,Phone,Electronics,Vikas,8,800,6400
180,2024-05-05,May,South,Laptop,Electronics,Riya,13,1200,15600
181,2024-02-22,February,North,Mouse,Accessories,Karan,15,500,7500
182,2024-01-21,January,East,Phone,Electronics,Rahul,15,1200,18000
183,2024-11-03,November,South,Laptop,Electronics,Riya,2,800,1600
184,2024-08-17,August,East,Tablet,Electronics,Amit,17,800,13600
185,2024-11-13,November,East,Laptop,Electronics,Rahul,20,30000,600000
186,2024-03-13,March,North,Laptop,Electronics,Rahul,12,1200,14400
187,2024-11-29,November,South,Tablet,Electronics,Amit,2,15000,30000
188,2024-07-09,July,South,Tablet,Electronics,Sneha,14,30000,420000
189,2024-09-10,September,West,Laptop,Electronics,Riya,7,500,3500
190,2024-12-05,December,South,Monitor,Accessories,Riya,4,5000,20000
191,2024-12-22,December,East,Mouse,Accessories,Priya,6,5000,30000
192,2024-01-27,January,East,Tablet,Electronics,Vikas,10,5000,50000
193,2024-07-05,July,South,Monitor,Accessories,Priya,14,500,7000
194,2024-01-04,January,West,Mouse,Accessories,Neha,13,800,10400
195,2024-07-26,July,East,Monitor,Accessories,Karan,4,500,2000
196,2024-01-27,January,South,Phone,Electronics,Priya,5,500,2500
197,2024-07-08,July,South,Laptop,Electronics,Neha,19,15000,285000
198,2024-09-23,September,South,Tablet,Electronics,Riya,10,800,8000
199,2024-04-11,April,East,Laptop,Electronics,Neha,13,5000,65000
200,2024-01-28,January,West,Laptop,Electronics,Riya,16,1200,19200
201,2024-03-23,March,South,Mouse,Accessories,Priya,20,30000,600000
202,2024-04-03,April,South,Keyboard,Accessories,Amit,7,5000,35000
203,2024-07-15,July,East,Monitor,Accessories,Riya,17,800,13600
204,2024-04-08,April,North,Phone,Electronics,Amit,8,30000,240000
205,2024-07-18,July,West,Mouse,Accessories,Sneha,11,500,5500
206,2024-10-25,October,South,Mouse,Accessories,Priya,14,1200,16800
207,2024-09-14,September,West,Monitor,Accessories,Neha,12,5000,60000
208,2024-09-07,September,West,Laptop,Electronics,Rahul,1,15000,15000
209,2024-04-01,April,West,Monitor,Accessories,Priya,20,5000,100000
210,2024-07-02,July,West,Laptop,Electronics,Vikas,3,800,2400
211,2024-09-18,September,North,Laptop,Electronics,Amit,15,15000,225000
212,2024-06-09,June,North,Mouse,Accessories,Amit,5,500,2500
213,2024-03-10,March,North,Keyboard,Accessories,Riya,13,30000,390000
214,2024-03-08,March,West,Keyboard,Accessories,Sneha,4,800,3200
215,2024-06-28,June,East,Phone,Electronics,Neha,8,500,4000
216,2024-08-21,August,South,Tablet,Electronics,Sneha,20,1200,24000
217,2024-10-30,October,East,Keyboard,Accessories,Rahul,16,800,12800
218,2024-04-11,April,South,Tablet,Electronics,Priya,12,500,6000
219,2024-06-16,June,West,Phone,Electronics,Neha,9,30000,270000
220,2024-01-25,January,East,Tablet,Electronics,Karan,4,15000,60000
221,2024-12-18,December,North,Keyboard,Accessories,Sneha,17,15000,255000
222,2024-07-09,July,East,Keyboard,Accessories,Priya,13,30000,390000
223,2024-07-03,July,East,Tablet,Electronics,Riya,19,800,15200
224,2024-11-11,November,North,Monitor,Accessories,Sneha,8,800,6400
225,2024-11-23,November,East,Keyboard,Accessories,Amit,9,1200,10800
226,2024-03-17,March,East,Mouse,Accessories,Priya,2,800,1600
227,2024-01-25,January,South,Monitor,Accessories,Karan,17,1200,20400
228,2024-01-24,January,North,Phone,Electronics,Amit,20,30000,600000
229,2024-06-04,June,North,Laptop,Electronics,Vikas,19,1200,22800
230,2024-10-25,October,East,Keyboard,Accessories,Neha,8,5000,40000
231,2024-08-31,August,South,Phone,Electronics,Neha,12,15000,180000
232,2024-03-17,March,West,Laptop,Electronics,Riya,8,30000,240000
233,2024-05-18,May,West,Laptop,Electronics,Sneha,5,30000,150000
234,2024-10-14,October,East,Laptop,Electronics,Karan,2,30000,60000
235,2024-09-09,September,South,Keyboard,Accessories,Neha,17,30000,510000
236,2024-09-29,September,North,Laptop,Electronics,Priya,2,500,1000
237,2024-01-30,January,North,Phone,Electronics,Amit,8,800,6400
238,2024-04-10,April,South,Keyboard,Accessories,Priya,18,30000,540000
239,2024-11-25,November,West,Phone,Electronics,Neha,17,15000,255000
240,2024-06-02,June,North,Keyboard,Accessories,Karan,10,500,5000
241,2024-07-11,July,West,Mouse,Accessories,Karan,18,500,9000
242,2024-04-25,April,North,Laptop,Electronics,Sneha,15,800,12000
243,2024-06-20,June,East,Phone,Electronics,Amit,2,500,1000
244,2024-08-11,August,East,Tablet,Electronics,Sneha,18,30000,540000
245,2024-09-16,September,North,Mouse,Accessories,Neha,7,500,3500
246,2024-04-13,April,South,Tablet,Electronics,Vikas,8,30000,240000
247,2024-11-03,November,South,Phone,Electronics,Priya,13,1200,15600
248,2024-08-29,August,North,Mouse,Accessories,Amit,18,5000,90000
249,2024-06-06,June,South,Monitor,Accessories,Priya,8,15000,120000
250,2024-10-16,October,South,Keyboard,Accessories,Neha,19,500,9500
251,2024-02-24,February,South,Laptop,Electronics,Vikas,1,500,500
252,2024-01-22,January,South,Phone,Electronics,Amit,1,500,500
253,2024-01-24,January,North,Mouse,Accessories,Vikas,3,30000,90000
254,2024-02-03,February,West,Phone,Electronics,Riya,18,30000,540000
255,2024-02-27,February,North,Phone,Electronics,Amit,7,800,5600
256,2024-11-19,November,East,Mouse,Accessories,Karan,3,30000,90000
257,2024-11-26,November,South,Laptop,Electronics,Sneha,5,500,2500
258,2024-05-13,May,North,Tablet,Electronics,Vikas,11,5000,55000
259,2024-07-07,July,East,Tablet,Electronics,Karan,10,500,5000
260,2024-01-16,January,West,Tablet,Electronics,Amit,20,30000,600000
261,2024-06-26,June,West,Monitor,Accessories,Amit,17,500,8500
262,2024-02-16,February,East,Keyboard,Accessories,Neha,19,800,15200
263,2024-04-13,April,East,Monitor,Accessories,Amit,1,15000,15000
264,2024-02-18,February,West,Laptop,Electronics,Neha,12,5000,60000
265,2024-09-20,September,East,Monitor,Accessories,Neha,19,1200,22800
266,2024-04-28,April,West,Tablet,Electronics,Neha,7,30000,210000
267,2024-12-22,December,North,Laptop,Electronics,Vikas,3,5000,15000
268,2024-07-21,July,North,Tablet,Electronics,Priya,4,5000,20000
269,2024-04-15,April,East,Mouse,Accessories,Sneha,1,1200,1200
270,2024-03-28,March,West,Monitor,Accessories,Rahul,18,15000,270000
271,2024-10-31,October,North,Monitor,Accessories,Vikas,5,15000,75000
272,2024-03-20,March,West,Keyboard,Accessories,Vikas,11,15000,165000
273,2024-12-18,December,East,Phone,Electronics,Rahul,15,5000,75000
274,2024-11-25,November,South,Phone,Electronics,Rahul,11,5000,55000
275,2024-11-12,November,South,Tablet,Electronics,Neha,10,30000,300000
276,2024-09-24,September,East,Phone,Electronics,Neha,11,15000,165000
277,2024-05-12,May,North,Phone,Electronics,Neha,11,800,8800
278,2024-07-15,July,South,Mouse,Accessories,Neha,4,800,3200
279,2024-05-20,May,South,Tablet,Electronics,Riya,10,5000,50000
280,2024-04-15,April,West,Mouse,Accessories,Karan,4,1200,4800
281,2024-08-11,August,South,Laptop,Electronics,Sneha,1,5000,5000
282,2024-05-11,May,West,Monitor,Accessories,Amit,1,800,800
283,2024-12-24,December,West,Mouse,Accessories,Rahul,8,5000,40000
284,2024-12-13,December,South,Mouse,Accessories,Riya,19,800,15200
285,2024-05-13,May,North,Monitor,Accessories,Priya,14,1200,16800
286,2024-12-30,December,South,Phone,Electronics,Sneha,13,30000,390000
287,2024-01-11,January,West,Monitor,Accessories,Neha,16,5000,80000
288,2024-07-18,July,West,Mouse,Accessories,Riya,11,500,5500
289,2024-04-21,April,South,Laptop,Electronics,Rahul,9,15000,135000
290,2024-10-21,October,West,Keyboard,Accessories,Rahul,12,500,6000
291,2024-01-09,January,East,Mouse,Accessories,Vikas,16,15000,240000
292,2024-12-16,December,South,Monitor,Accessories,Priya,15,800,12000
293,2024-11-10,November,East,Keyboard,Accessories,Amit,4,30000,120000
294,2024-07-23,July,North,Tablet,Electronics,Amit,9,5000,45000
295,2024-11-17,November,East,Laptop,Electronics,Sneha,14,5000,70000
296,2024-07-24,July,South,Laptop,Electronics,Priya,8,1200,9600
297,2024-03-07,March,North,Monitor,Accessories,Rahul,7,800,5600
298,2024-04-25,April,South,Monitor,Accessories,Vikas,18,30000,540000
299,2024-05-30,May,South,Mouse,Accessories,Karan,14,5000,70000
300,2024-12-26,December,West,Tablet,Electronics,Sneha,8,1200,9600
301,2024-01-02,January,East,Monitor,Accessories,Vikas,6,5000,30000
302,2024-09-02,September,West,Phone,Electronics,Priya,10,1200,12000
303,2024-07-04,July,South,Keyboard,Accessories,Sneha,3,30000,90000
304,2024-10-16,October,East,Monitor,Accessories,Neha,2,500,1000
305,2024-10-25,October,North,Keyboard,Accessories,Amit,12,30000,360000
306,2024-05-30,May,East,Phone,Electronics,Riya,3,30000,90000
307,2024-04-05,April,West,Keyboard,Accessories,Vikas,5,800,4000
308,2024-09-30,September,South,Phone,Electronics,Riya,7,5000,35000
309,2024-06-01,June,South,Mouse,Accessories,Karan,18,30000,540000
310,2024-02-10,February,West,Mouse,Accessories,Riya,7,15000,105000
311,2024-08-02,August,South,Keyboard,Accessories,Neha,4,1200,4800
312,2024-01-30,January,West,Monitor,Accessories,Karan,16,15000,240000
313,2024-09-12,September,South,Phone,Electronics,Amit,16,800,12800
314,2024-12-22,December,West,Phone,Electronics,Sneha,11,5000,55000
315,2024-08-02,August,North,Monitor,Accessories,Neha,12,5000,60000
316,2024-11-27,November,North,Mouse,Accessories,Amit,12,30000,360000
317,2024-06-18,June,North,Keyboard,Accessories,Karan,2,30000,60000
318,2024-04-19,April,West,Monitor,Accessories,Neha,5,500,2500
319,2024-07-06,July,East,Tablet,Electronics,Karan,4,30000,120000
320,2024-05-25,May,West,Keyboard,Accessories,Vikas,18,800,14400
321,2024-01-27,January,East,Monitor,Accessories,Sneha,9,15000,135000
322,2024-06-19,June,East,Tablet,Electronics,Vikas,16,5000,80000
323,2024-06-18,June,South,Phone,Electronics,Vikas,16,500,8000
324,2024-10-27,October,North,Mouse,Accessories,Amit,10,800,8000
325,2024-10-06,October,North,Monitor,Accessories,Priya,18,5000,90000
326,2024-01-24,January,South,Tablet,Electronics,Karan,4,500,2000
327,2024-10-05,October,West,Keyboard,Accessories,Neha,2,15000,30000
328,2024-02-12,February,South,Mouse,Accessories,Amit,20,30000,600000
329,2024-03-30,March,North,Mouse,Accessories,Neha,15,30000,450000
330,2024-12-01,December,North,Laptop,Electronics,Vikas,14,500,7000
331,2024-12-29,December,East,Phone,Electronics,Sneha,10,15000,150000
332,2024-06-12,June,North,Phone,Electronics,Priya,14,500,7000
333,2024-09-11,September,North,Keyboard,Accessories,Riya,19,500,9500
334,2024-07-26,July,West,Monitor,Accessories,Riya,19,30000,570000
335,2024-10-30,October,South,Laptop,Electronics,Karan,13,15000,195000
336,2024-02-12,February,West,Monitor,Accessories,Rahul,18,500,9000
337,2024-01-03,January,North,Phone,Electronics,Riya,1,5000,5000
338,2024-03-07,March,West,Laptop,Electronics,Amit,7,500,3500
339,2024-08-18,August,South,Tablet,Electronics,Amit,19,800,15200
340,2024-02-13,February,East,Tablet,Electronics,Karan,5,30000,150000
341,2024-01-17,January,North,Monitor,Accessories,Amit,9,500,4500
342,2024-07-18,July,East,Laptop,Electronics,Sneha,20,500,10000
343,2024-09-06,September,North,Mouse,Accessories,Vikas,20,800,16000
344,2024-08-12,August,West,Tablet,Electronics,Neha,19,30000,570000
345,2024-11-26,November,South,Phone,Electronics,Priya,4,1200,4800
346,2024-05-19,May,East,Monitor,Accessories,Sneha,13,5000,65000
347,2024-11-29,November,East,Tablet,Electronics,Amit,2,15000,30000
348,2024-10-26,October,West,Phone,Electronics,Rahul,20,1200,24000
349,2024-07-11,July,South,Monitor,Accessories,Karan,13,30000,390000
350,2024-05-14,May,East,Tablet,Electronics,Priya,1,1200,1200
351,2024-05-27,May,South,Phone,Electronics,Neha,19,500,9500
352,2024-09-12,September,East,Tablet,Electronics,Riya,18,30000,540000
353,2024-07-14,July,South,Keyboard,Accessories,Rahul,18,5000,90000
354,2024-12-12,December,West,Tablet,Electronics,Karan,20,500,10000
355,2024-10-27,October,North,Mouse,Accessories,Priya,7,1200,8400
356,2024-10-01,October,East,Monitor,Accessories,Riya,18,500,9000
357,2024-09-23,September,East,Phone,Electronics,Vikas,13,15000,195000
358,2024-04-13,April,South,Monitor,Accessories,Rahul,17,15000,255000
359,2024-12-24,December,East,Phone,Electronics,Vikas,3,800,2400
360,2024-07-25,July,South,Keyboard,Accessories,Rahul,19,1200,22800
361,2024-02-24,February,East,Laptop,Electronics,Karan,16,1200,19200
362,2024-11-01,November,North,Laptop,Electronics,Vikas,5,1200,6000
363,2024-01-11,January,North,Tablet,Electronics,Amit,17,15000,255000
364,2024-10-27,October,South,Phone,Electronics,Sneha,19,5000,95000
365,2024-08-16,August,South,Tablet,Electronics,Sneha,14,500,7000
366,2024-04-02,April,West,Laptop,Electronics,Riya,11,800,8800
367,2024-10-12,October,East,Laptop,Electronics,Karan,2,500,1000
368,2024-11-23,November,West,Monitor,Accessories,Riya,3,15000,45000
369,2024-06-12,June,South,Mouse,Accessories,Riya,3,1200,3600
370,2024-04-03,April,West,Mouse,Accessories,Neha,17,5000,85000
371,2024-04-23,April,South,Tablet,Electronics,Amit,8,30000,240000
372,2024-10-10,October,North,Tablet,Electronics,Amit,12,500,6000
373,2024-11-27,November,West,Tablet,Electronics,Amit,17,30000,510000
374,2024-01-03,January,South,Laptop,Electronics,Sneha,5,1200,6000
375,2024-11-30,November,North,Keyboard,Accessories,Karan,19,5000,95000
376,2024-07-18,July,North,Tablet,Electronics,Vikas,12,1200,14400
377,2024-08-13,August,South,Monitor,Accessories,Neha,13,800,10400
378,2024-04-09,April,North,Mouse,Accessories,Neha,1,5000,5000
379,2024-07-10,July,South,Phone,Electronics,Karan,3,15000,45000
380,2024-11-17,November,North,Laptop,Electronics,Karan,13,500,6500
381,2024-09-01,September,North,Tablet,Electronics,Vikas,11,800,8800
382,2024-01-30,January,South,Phone,Electronics,Karan,11,800,8800
383,2024-03-17,March,East,Keyboard,Accessories,Priya,5,5000,25000
384,2024-01-14,January,East,Monitor,Accessories,Sneha,8,800,6400
385,2024-09-08,September,North,Tablet,Electronics,Vikas,6,1200,7200
386,2024-03-19,March,North,Monitor,Accessories,Rahul,16,500,8000
387,2024-03-02,March,East,Keyboard,Accessories,Rahul,16,1200,19200
388,2024-05-02,May,South,Tablet,Electronics,Riya,14,1200,16800
389,2024-03-24,March,North,Monitor,Accessories,Sneha,10,5000,50000
390,2024-09-16,September,East,Phone,Electronics,Neha,1,5000,5000
391,2024-05-26,May,South,Monitor,Accessories,Vikas,1,15000,15000
392,2024-04-21,April,East,Monitor,Accessories,Neha,2,5000,10000
393,2024-04-27,April,South,Phone,Electronics,Rahul,6,15000,90000
394,2024-11-07,November,West,Keyboard,Accessories,Sneha,3,500,1500
395,2024-11-09,November,South,Phone,Electronics,Sneha,7,800,5600
396,2024-12-20,December,West,Phone,Electronics,Amit,1,500,500
397,2024-05-24,May,West,Keyboard,Accessories,Riya,12,1200,14400
398,2024-03-09,March,East,Laptop,Electronics,Rahul,14,5000,70000
